Country;All-cause mortality rate;All-cause YLL;IHD Incidence rate;IHD YLD;CVD Incidence rate;CVD YLD;Diabetes Type 2 Incidence rate;Diabetes Type 2 YLD
AT;0.0108923;0.1733343;0.005052676;0.001302929;0.0170370;0.0103839;0.0023304;0.0042803
BE;0.0114245;0.1802973;0.004336241;0.000947247;0.0135252;0.0074783;0.0033524;0.0072834
BG;0.0210833;0.3962438;0.010492404;0.001593945;0.0211962;0.0102113;0.0050633;0.0109138
CH;0.0087717;0.1320483;0.003929876;0.000798845;0.0119636;0.0055046;0.0049308;0.0089792
CY;0.0079084;0.1373988;0.002292989;0.000697311;0.0089710;0.0036193;0.0048602;0.0071327
CZ;0.0126601;0.2229561;0.008769882;0.002197777;0.0185713;0.0119792;0.0052938;0.0107030
DE;0.0128916;0.2069215;0.006342954;0.001276950;0.0174776;0.0115708;0.0034999;0.0059261
DK;0.0114174;0.1930935;0.002941182;0.000926179;0.0130426;0.0069467;0.0029884;0.0045273
EE;0.0138501;0.2432352;0.013154566;0.001526965;0.0080463;0.0212934;0.0033876;0.0073698
GR;0.0142755;0.2190405;0.003975869;0.000884226;0.0148237;0.0067750;0.0034999;0.0059261
ES;0.0108794;0.1671695;0.003657481;0.000861096;0.0126353;0.0080868;0.0053435;0.0105462
FI;0.0116273;0.1870963;0.006472944;0.001444604;0.0178093;0.0100542;0.0041571;0.0081257
FR;0.0108823;0.1704437;0.006163253;0.001355134;0.0151943;0.0135825;0.0026386;0.0043732
HR;0.0143018;0.2458164;0.006521602;0.001799456;0.0155442;0.0079430;0.0049346;0.0100923
HU;0.0157663;0.2951419;0.010036269;0.001626484;0.0187060;0.0082572;0.0049689;0.0102250
IE;0.0083035;0.1433596;0.003685262;0.000898957;0.0104671;0.0050282;0.0029233;0.0046633
IS;0.0081855;0.1335991;0.004090912;0.000807554;0.0116962;0.0053739;0.0030728;0.0054480
IT;0.0122998;0.1809264;0.004564800;0.001131483;0.0158075;0.0082165;0.0035864;0.0066895
LI;NA;NA;NA;NA;NA;NA;NA;NA
LT;0.0160227;0.2928789;0.011668625;0.001789164;0.0213322;0.0109120;0.0027854;0.0061846
LU;0.0082858;0.1374158;0.002453217;0.000935181;0.0104348;0.0070372;0.0031848;0.0054328
LV;0.0169459;0.3128181;0.010485591;0.001852678;0.0201918;0.0098456;0.0034180;0.0076710
MT;0.0097086;0.1613888;0.003273581;0.001320323;0.0117095;0.0061296;0.0048714;0.0089491
NL;0.0106101;0.1727628;0.004216967;0.000986878;0.0132533;0.0076983;0.0030856;0.0056779
NO;0.0092682;0.1462647;0.004063083;0.000937014;0.0142799;0.0072655;0.0030749;0.0054325
PL;0.0125954;0.2383122;0.005093557;0.001988955;0.0123103;0.0080142;0.0048998;0.0098465
PT;0.0122874;0.1942035;0.002192104;0.000984074;0.0113118;0.0066597;0.0054071;0.0106156
RO;0.0164640;0.3130997;0.008922545;0.001689627;0.0183383;0.0088116;0.0033246;0.0071284
SE;0.0107877;0.1635091;0.005090484;0.001783971;0.0162985;0.0114708;0.0035044;0.0058720
SI;0.0113345;0.1883555;0.007083415;0.001817676;0.0160043;0.0078505;0.0039683;0.0081027
SK;0.0117149;0.2294714;0.007644458;0.001733405;0.0154164;0.0102548;0.0038089;0.0072776
TR;NA;NA;NA;NA;NA;NA;NA;NA
